UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,L00001,L,297.0,306.4,1628,32.6,250,1,1,0,0,0,0
2,H00002,H,297.7,307.4,1451,37.4,96,0,0,0,0,0,0
3,M00003,M,300.8,309.7,1565,30.0,55,0,0,0,0,0,0
4,L00004,L,297.7,306.8,1449,40.1,250,1,1,0,0,0,0
5,L00005,L,302.2,312.7,1564,42.3,34,0,0,0,0,0,0
6,L00006,L,299.9,310.0,1480,33.5,149,0,0,0,0,0,0
7,L00007,L,300.2,310.7,1428,40.8,215,1,1,0,0,0,0
8,M00008,M,299.4,309.7,1414,36.8,54,0,0,0,0,0,0
9,M00009,M,301.5,312.3,1446,43.9,40,0,0,0,0,0,0
10,M00010,M,301.6,312.4,1624,27.2,230,1,1,0,0,0,0
11,L00011,L,300.7,308.9,1493,43.6,4,0,0,0,0,0,0
12,H00012,H,301.1,310.3,1323,32.7,9,1,0,1,0,0,0
13,M00013,M,299.6,309.3,1513,38.8,165,0,0,0,0,0,0
14,L00014,L,301.1,311.1,1553,35.9,65,0,0,0,0,0,0
15,L00015,L,299.3,308.7,1501,38.2,77,0,0,0,0,0,0
16,L00016,L,300.0,310.9,1534,32.0,60,0,0,0,0,0,0
17,L00017,L,299.5,311.4,1648,46.8,62,1,0,0,1,0,0
18,L00018,L,299.1,309.3,1617,32.4,112,0,0,0,0,0,0
19,L00019,L,298.6,308.7,1608,32.9,250,1,1,0,0,0,0
20,L00020,L,300.9,311.8,1432,49.7,175,0,0,0,0,0,0
21,M00021,M,302.6,310.8,1789,38.7,134,0,0,0,0,0,0
22,L00022,L,302.3,312.4,1655,32.2,184,0,0,0,0,0,0
23,L00023,L,297.5,308.5,1602,38.3,9,0,0,0,0,0,0
24,L00024,L,302.6,311.9,1434,39.5,87,0,0,0,0,0,0
25,L00025,L,299.4,308.1,1645,30.1,192,0,0,0,0,0,0
26,M00026,M,301.2,311.0,1450,36.7,79,0,0,0,0,0,0
27,L00027,L,298.2,308.1,1531,39.6,35,0,0,0,0,0,0
28,L00028,L,300.3,309.4,1382,47.5,26,0,0,0,0,0,0
29,L00029,L,300.6,312.7,1426,39.8,59,0,0,0,0,0,0
30,L00030,L,297.0,306.6,1594,38.5,83,0,0,0,0,0,0
31,M00031,M,301.2,310.1,1601,34.9,91,0,0,0,0,0,0
32,L00032,L,302.7,312.6,1618,44.3,29,0,0,0,0,0,0
33,L00033,L,299.7,310.6,1615,43.4,13,0,0,0,0,0,0
34,H00034,H,302.7,312.7,1444,44.5,52,0,0,0,0,0,0
35,H00035,H,299.6,310.1,1409,41.5,75,0,0,0,0,0,0
36,M00036,M,301.7,310.8,1529,31.7,34,0,0,0,0,0,0
37,L00037,L,295.6,307.1,1632,44.1,117,0,0,0,0,0,0
38,L00038,L,304.8,315.4,1550,39.8,250,1,1,0,0,0,0
39,M00039,M,303.0,314.0,1621,37.2,32,0,0,0,0,0,0
40,L00040,L,299.4,309.8,1528,42.0,250,1,1,0,0,0,0
41,L00041,L,296.1,306.9,1452,41.6,69,0,0,0,0,0,0
42,L00042,L,300.6,309.7,1549,34.2,33,0,0,0,0,0,0
43,L00043,L,297.1,306.6,1561,37.8,60,0,0,0,0,0,0
44,H00044,H,300.9,312.2,1442,31.1,103,0,0,0,0,0,0
45,L00045,L,300.8,312.4,1678,38.6,64,0,0,0,0,0,0
46,M00046,M,298.1,307.0,1581,45.8,166,0,0,0,0,0,0
47,L00047,L,302.2,312.5,1407,32.0,102,0,0,0,0,0,0
48,L00048,L,301.6,311.2,1703,38.6,36,0,0,0,0,0,0
49,L00049,L,302.0,311.3,1276,45.6,59,1,0,1,0,0,0
50,L00050,L,300.0,310.3,1765,41.4,132,0,0,0,0,0,0
51,H00051,H,297.2,308.3,1421,37.1,31,0,0,0,0,0,0
52,M00052,M,302.0,312.4,1481,34.7,55,0,0,0,0,0,0
53,H00053,H,299.5,309.1,1444,37.6,8,0,0,0,0,0,0
54,M00054,M,297.2,307.7,1539,45.6,67,0,0,0,0,0,0
55,L00055,L,302.7,312.3,1550,31.0,105,0,0,0,0,0,0
56,H00056,H,304.2,314.6,1437,34.6,17,0,0,0,0,0,0
57,L00057,L,299.9,311.3,1681,35.9,158,0,0,0,0,0,0
58,L00058,L,304.3,312.2,1607,34.1,222,1,1,0,0,0,0
59,L00059,L,300.2,311.0,1454,40.3,250,1,1,0,0,0,0
60,L00060,L,299.2,307.7,1624,45.8,134,0,0,0,0,0,0
61,L00061,L,298.7,310.0,1602,33.0,204,1,1,0,0,0,0
62,L00062,L,303.3,312.6,1495,39.3,202,1,1,0,0,0,0
63,M00063,M,298.4,307.2,1579,39.2,117,0,0,0,0,0,0
64,L00064,L,301.5,312.2,1534,38.0,162,0,0,0,0,0,0
65,L00065,L,298.9,309.2,1528,31.8,30,0,0,0,0,0,0
66,L00066,L,299.1,308.1,1525,36.6,32,0,0,0,0,0,0
67,L00067,L,302.1,310.8,1307,38.8,227,1,1,1,0,0,0
68,M00068,M,299.2,309.1,1447,43.7,250,1,1,0,0,0,0
69,L00069,L,299.2,308.0,1621,40.9,86,0,0,0,0,0,0
70,H00070,H,302.3,311.2,1448,32.8,101,0,0,0,0,0,0
71,M00071,M,303.2,313.3,1371,39.3,93,1,0,1,0,0,0
72,L00072,L,301.3,310.3,1646,36.0,104,0,0,0,0,0,0
73,L00073,L,298.7,309.1,1520,49.6,205,1,1,0,0,0,0
74,M00074,M,299.0,310.5,1378,42.7,56,1,0,1,0,0,0
75,M00075,M,300.2,310.0,1721,32.4,120,0,0,0,0,0,0
76,M00076,M,300.6,310.8,1395,37.2,104,0,0,0,0,0,0
77,M00077,M,298.0,310.0,1588,37.2,100,0,0,0,0,0,0
78,L00078,L,301.4,310.3,1473,42.1,250,1,1,0,0,0,0
79,L00079,L,300.2,311.4,1564,41.8,51,0,0,0,0,0,0
80,L00080,L,296.6,307.6,1460,41.4,51,0,0,0,0,0,0
81,M00081,M,298.1,309.0,1376,40.2,71,1,0,1,0,0,0
82,M00082,M,299.0,310.3,1552,38.8,44,0,0,0,0,0,0
83,L00083,L,299.9,310.1,1591,38.4,114,0,0,0,0,0,0
84,L00084,L,303.8,313.2,1664,29.4,88,0,0,0,0,0,0
85,L00085,L,300.5,311.6,1547,39.2,125,0,0,0,0,0,0
86,L00086,L,298.3,309.5,1772,34.4,234,1,1,0,0,0,0
87,M00087,M,300.4,311.5,1527,31.5,39,0,0,0,0,0,0
88,M00088,M,299.3,309.3,1557,51.5,34,1,0,0,1,0,0
89,M00089,M,300.6,309.9,1364,42.9,118,1,0,1,0,0,0
90,L00090,L,301.2,311.4,1489,40.2,46,0,0,0,0,0,0
91,L00091,L,302.4,313.4,1602,37.1,250,1,1,0,0,0,0
92,M00092,M,300.0,311.0,1492,43.7,186,0,0,0,0,0,0
93,M00093,M,303.3,312.8,1519,34.0,233,1,1,0,0,0,0
94,L00094,L,301.8,312.1,1468,38.8,40,0,0,0,0,0,0
95,M00095,M,298.6,307.3,1512,35.1,94,0,0,0,0,0,0
96,L00096,L,304.4,315.4,1562,43.0,52,0,0,0,0,0,0
97,L00097,L,300.7,309.9,1432,36.5,250,1,1,0,0,0,0
98,L00098,L,298.3,309.1,1614,44.4,112,0,0,0,0,0,0
99,L00099,L,303.3,312.2,1380,40.7,148,0,0,0,0,0,0
100,L00100,L,304.2,315.2,1568,43.2,87,0,0,0,0,0,0
101,L00101,L,299.9,310.3,1727,39.7,183,0,0,0,0,0,0
102,M00102,M,299.0,308.2,1568,44.6,76,0,0,0,0,0,0
103,L00103,L,299.7,310.3,1617,34.1,184,0,0,0,0,0,0
104,L00104,L,301.4,310.8,1460,44.9,135,0,0,0,0,0,0
105,H00105,H,302.6,313.3,1627,29.4,110,0,0,0,0,0,0
106,L00106,L,301.1,310.9,1688,38.3,208,1,1,0,0,0,0
107,L00107,L,300.2,308.5,1466,37.6,250,1,1,0,0,0,0
108,M00108,M,303.0,312.0,1453,33.5,53,0,0,0,0,0,0
109,L00109,L,299.4,308.9,1675,33.8,241,1,1,0,0,0,0
110,L00110,L,302.1,313.4,1730,34.5,131,0,0,0,0,0,0
111,L00111,L,299.4,310.3,1424,39.8,220,1,1,0,0,0,0
112,L00112,L,300.9,312.5,1450,37.9,89,0,0,0,0,0,0
113,H00113,H,299.8,311.4,1436,41.0,22,0,0,0,0,0,0
114,M00114,M,299.9,309.4,1283,38.0,123,1,0,1,0,0,0
115,M00115,M,299.2,309.1,1502,37.6,55,0,0,0,0,0,0
116,M00116,M,302.7,312.3,1619,37.4,37,0,0,0,0,0,0
117,M00117,M,298.5,307.9,1356,42.3,69,1,0,1,0,0,0
118,L00118,L,298.5,306.7,1563,43.6,180,0,0,0,0,0,0
119,M00119,M,304.2,314.2,1442,44.9,250,1,1,0,0,0,0
120,L00120,L,302.0,310.7,1714,39.0,112,0,0,0,0,0,0
121,M00121,M,295.2,305.2,1443,42.7,83,0,0,0,0,0,0
122,M00122,M,298.9,311.0,1652,40.0,73,0,0,0,0,0,0
123,L00123,L,296.4,305.9,1490,38.5,107,0,0,0,0,0,0
124,L00124,L,298.1,308.3,1627,43.2,108,0,0,0,0,0,0
125,L00125,L,293.7,304.6,1575,34.7,152,0,0,0,0,0,0
126,L00126,L,299.7,310.0,1536,29.4,101,0,0,0,0,0,0
127,M00127,M,297.7,308.0,1421,35.6,165,0,0,0,0,0,0
128,M00128,M,300.1,309.8,1532,46.7,103,0,0,0,0,0,0
129,L00129,L,296.7,306.5,1506,38.5,92,0,0,0,0,0,0
130,L00130,L,300.2,309.2,1481,41.6,164,0,0,0,0,0,0
131,L00131,L,299.2,310.0,1697,36.7,250,1,1,0,0,0,0
132,L00132,L,303.0,311.3,1605,41.8,250,1,1,0,0,0,0
133,L00133,L,302.8,313.8,1614,39.2,188,0,0,0,0,0,0
134,L00134,L,301.6,310.2,1511,39.5,250,1,1,0,0,0,0
135,H00135,H,299.3,310.3,1431,43.8,176,0,0,0,0,0,0
136,L00136,L,304.0,313.6,1525,37.4,72,0,0,0,0,0,0
137,L00137,L,296.9,305.7,1584,41.0,145,0,0,0,0,0,0
138,M00138,M,297.2,307.8,1564,38.5,247,1,1,0,0,0,0
139,L00139,L,299.8,310.8,1547,39.0,91,0,0,0,0,0,0
140,H00140,H,304.5,314.1,1371,37.2,91,1,0,1,0,0,0
141,H00141,H,299.6,310.3,1526,38.7,47,0,0,0,0,0,0
142,L00142,L,299.6,307.3,1553,36.8,53,0,0,0,0,0,0
143,L00143,L,297.1,305.8,1406,46.6,85,0,0,0,0,0,0
144,L00144,L,301.9,313.2,1336,33.2,88,1,0,1,0,0,0
145,L00145,L,301.9,311.7,1580,43.6,250,1,1,0,0,0,0
146,L00146,L,301.6,309.7,1467,31.6,250,1,1,0,0,0,0
147,M00147,M,298.7,308.0,1543,42.3,51,0,0,0,0,0,0
148,L00148,L,298.6,307.7,1472,36.1,13,0,0,0,0,0,0
149,L00149,L,297.4,307.2,1563,42.2,250,1,1,0,0,0,0
150,L00150,L,300.2,309.8,1512,39.3,33,0,0,0,0,0,0
151,H00151,H,297.8,308.0,1625,31.6,82,0,0,0,0,0,0
152,L00152,L,297.6,307.6,1645,45.3,250,1,1,0,0,0,0
153,L00153,L,299.2,310.5,1685,42.0,31,0,0,0,0,0,0
154,L00154,L,299.0,309.4,1552,42.0,218,1,1,0,0,0,0
155,H00155,H,298.9,309.4,1532,36.5,51,0,0,0,0,0,0
156,L00156,L,300.9,312.1,1559,43.5,137,0,0,0,0,0,0
157,M00157,M,300.2,309.8,1647,32.1,74,0,0,0,0,0,0
158,M00158,M,299.4,308.2,1493,28.9,35,0,0,0,0,0,0
159,L00159,L,300.4,311.6,1410,33.1,222,1,1,0,0,0,0
160,M00160,M,298.0,308.2,1300,37.4,87,1,0,1,0,0,0
161,L00161,L,300.2,310.3,1717,34.1,49,0,0,0,0,0,0
162,M00162,M,300.3,309.7,1548,37.3,250,1,1,0,0,0,0
163,M00163,M,297.0,306.4,1554,37.5,63,0,0,0,0,0,0
164,L00164,L,302.0,312.8,1699,34.8,60,0,0,0,0,0,0
165,L00165,L,298.2,309.2,1385,30.6,145,0,0,0,0,0,0
166,M00166,M,300.2,311.0,1464,41.3,8,0,0,0,0,0,0
167,L00167,L,302.3,313.1,1526,38.4,52,0,0,0,0,0,0
168,L00168,L,301.9,312.4,1624,35.3,171,0,0,0,0,0,0
169,L00169,L,300.1,310.2,1481,47.2,102,0,0,0,0,0,0
170,L00170,L,299.3,309.1,1430,39.5,1,0,0,0,0,0,0
171,M00171,M,301.9,313.1,1379,41.5,50,1,0,1,0,0,0
172,L00172,L,301.3,311.0,1665,42.3,88,0,0,0,0,0,0
